Vietnam,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
    Capacity (million kW),1.17,1.18,1.19,1.22,1.45,1.55,1.65,1.75,1.85,1.95,2.155,2.3,2.935,3.41,4.05,4.43,4.648,4.895,5.703,5.643,6.38,8.454,8.7,9.16,11.732,12.388,12.964,13.354,15.02,17.011,18.453,22.194,27.082,30.644255,33.460028,38.987028,43.268028,44.16723,45.51173,49.53951811
        Nuclear (million kW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fossil fuels (million kW),0.89,0.9,0.91,0.92,1,1.08,1.16,1.24,1.32,1.4,1.48,1.55,1.55,1.55,1.55,1.55,1.756,2.003,2.811,2.781,2.957,4.195,4.414,4.874,7.445,8.1,8.25,8.35,9.015,9.678,9.678,11.992,13.417,15.539,18.268,22.779,25.783,25.953,26.8,24.90851811
        Renewables (million kW),0.28,0.28,0.28,0.3,0.45,0.47,0.49,0.51,0.53,0.55,0.675,0.75,1.385,1.86,2.5,2.88,2.892,2.892,2.892,2.862,3.423,4.259,4.286,4.286,4.287,4.288,4.714,5.004,6.005,7.333,8.775,10.202,13.665,15.105255,15.192028,16.208028,17.485028,18.21423,18.71173,24.631
            Hydroelectricity (million kW),0.28,0.28,0.28,0.3,0.45,0.47,0.49,0.51,0.53,0.55,0.675,0.75,1.385,1.86,2.5,2.88,2.892,2.892,2.892,2.862,3.292,4.128,4.155,4.155,4.155,4.155,4.58,4.87,5.87,7.19,8.61,10.037,13.5,14.925,15,15.905,17.131,17.809,17.989,18.069
            Non-hydroelectric renewables (million kW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131,0.131,0.131,0.131,0.132,0.133,0.134,0.134,0.135,0.143,0.165,0.165,0.165,0.180255,0.192028,0.303028,0.354028,0.40523,0.72273,6.562
                Geothermal (million kW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"                Solar, tide, wave, fuel cell (million kW)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.002,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005255,0.006028,0.006028,0.006028,0.00873,0.10573,5.695
                    Tide and wave (million kW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Solar (million kW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.002,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005255,0.006028,0.006028,0.006028,0.00873,0.10573,5.695
                Wind (million kW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.009,0.031,0.031,0.031,0.05,0.05,0.136,0.16,0.205,0.237,0.487
                Biomass and waste (million kW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.125,0.136,0.161,0.188,0.1915,0.38,0.38
        Hydroelectric pumped storage (million kW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
